"","BIOME","Nat","Notnat","biome_km2","pa_km2","pa_prop","panat_prop","prop_of_pa_nat"
"1","Albany Thicket",5109.892,267.8276,35076.6448,5377.7196,0.153313397865237,0.145677901325386,0.950196808327455
"2","Azonal",2613.9148,540.1748,24800.7712,3154.0896,0.127177077461204,0.10539651283102,0.828738283148329
"3","Desert",1643.0616,23.7692,6262.4652,1666.8308,0.266162085818856,0.262366583689758,0.985739884336191
"4","Forest",1766.0432,175.2896,4725.9032,1941.3328,0.410785561583233,0.373694323658597,0.909706568600706
"5","Fynbos",17795.7576,818.304,81926.3932,18614.0616,0.227204700133192,0.217216417138696,0.956038396262748
"6","Grassland",13983.1984,3424.394,333901.542,17407.5924,0.0521339083842865,0.0418782085169286,0.803281584189667
"7","IOCB",712.6736,129.0444,11691.166,841.718,0.0719960695109453,0.0609582996255463,0.846689271228606
"8","Nama-Karoo",8763.4416,383.344,249360.7032,9146.7856,0.0366809424364825,0.0351436352542336,0.958089757783325
"9","Savanna",53183.7728,2904.4116,392759.782,56088.1844,0.142805315030957,0.135410434666144,0.948217050862499
"10","Succulent Karoo",6079.0212,56.0564,78208.2096,6135.0776,0.0784454423823046,0.0777286838695256,0.990862968057649
"11","TOTAL",111650.7768,8722.6156,1218713.5804,120373.3924,0.0987708632577079,0.0916136314517432,0.92753701273937
